category	arxiv_id	slug	title	rationale
benchmark	2402.17753	locomo	Evaluating Very Long-Term Conversational Memory of LLM Agents	Primary LoCoMo benchmark and evidence annotations used by LazyMem.
benchmark	2410.10813	longmemeval	LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory	Held-out-scale multi-session benchmark and memory capability taxonomy.
benchmark	2606.17328	memtrace	MemTrace: Probing What Final Accuracy Misses in Long-Term Memory	Knowledge-point diagnostics separating retrieval from evidence use.
benchmark	2607.12893	memops	MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations	Operation-level benchmark for remember, update, forget, and reflect behavior.
benchmark	2607.21447	rumba	RUMBA: Russian User Memory Benchmark	Multilingual diagnostic benchmark with temporal and session-scope factors.
benchmark	2607.16848	budgeted-context-restoration	Beyond Memory Leaderboards: Evaluating Scientific Memory as Budgeted Context Restoration	Matched-budget evaluation and evidence that sparse-dense hybridization can dominate architecture labels.
benchmark	2605.02199	memaudit	MEMAUDIT: An Exact Package-Oracle Evaluation Protocol for Budgeted Long-Term LLM Memory Writing	Separates memory writing quality from retrieval and reader confounds.
architecture	2310.08560	memgpt	MemGPT: Towards LLMs as Operating Systems	Canonical hierarchical context and external-memory architecture.
architecture	2504.19413	mem0	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	Production-oriented extraction, consolidation, and retrieval baseline.
architecture	2502.12110	a-mem	A-MEM: Agentic Memory for LLM Agents	Dynamic note construction and associative memory linking.
architecture	2501.13956	zep	Zep: A Temporal Knowledge Graph Architecture for Agent Memory	Temporal knowledge-graph memory and retrieval baseline.
architecture	2601.02163	evermemos	EverMemOS: A Self-Organizing Memory Operating System for Structured Long-Horizon Reasoning	Multi-tier structured memory and benchmark comparison.
architecture	2512.12818	hindsight	Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects	Structured evidence, experience, belief, and reflection networks.
architecture	2511.12960	engram	ENGRAM: Effective, Lightweight Memory Orchestration for Conversational Agents	Lightweight typed episodic, semantic, and procedural memory.
architecture	2604.06845	hingemem	HingeMem: Boundary Guided Long-Term Memory with Query Adaptive Retrieval for Scalable Dialogues	Event boundaries plus query-adaptive routing and depth.
architecture	2605.12260	prism	PRISM: Pareto-Efficient Retrieval over Intent-Aware Structured Memory for Long-Horizon Agents	Training-free graph retrieval, routing, compression, and cost frontier.
architecture	2605.01688	gravity	GRAVITY: Architecture-Agnostic Structured Anchoring for Long-Horizon Conversational Memory	Generation-time relational, temporal, and topical anchoring.
raw-retrieval	2603.15599	smartsearch	SmartSearch: How Ranking Beats Structure for Conversational Memory Retrieval	Closest raw-history deterministic retrieval and learned reranking system.
raw-retrieval	2605.25092	agentir	AgentIR: A Workload-Adaptive Cascade Retrieval Substrate for Long-Term Conversational Memory	BM25-first confidence cascade that skips dense retrieval when unnecessary.
raw-retrieval	2606.04194	lexical-dense-fusion	Training-Free Lexical-Dense Fusion for Conversational-Memory Retrieval	Controlled BM25 and dense late-interaction fusion study.
raw-retrieval	2604.11628	back-to-basics	Back to Basics: Let Conversational Agents Remember with Just Retrieval and Generation	Minimal retrieval-generation architecture using turn isolation and pruning.
raw-retrieval	2604.02431	selroute	SelRoute: Query-Type-Aware Routing for Long-Term Conversational Memory Retrieval	Query-type routing among lexical, semantic, hybrid, and enriched pipelines.
raw-retrieval	2604.27695	evimem	EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory	Sufficiency diagnosis and targeted iterative query refinement.
raw-retrieval	2602.17913	tiermem	From Lossy to Verified: A Provenance-Aware Tiered Memory for Agents	Cheapest-sufficient-evidence routing from summaries to raw logs.
raw-retrieval	2601.00821	fidelity-before-structure	Fidelity Before Structure: Verbatim Chunks Beat Lossy Artifact Extraction in Long-Conversation LLM Memory	Controlled evidence that raw text can outperform extracted artifacts.
raw-retrieval	2511.17208	event-memory-baseline	A Simple Yet Strong Baseline for Long-Term Conversational Memory of LLM Agents	Event-centric non-compressive memory with simple dense retrieval.
